repo;ci;start;end
alansouzati/gulp-jest;Travis;05/08/2014 20:42;#NAME?
andywer/http-event-stream;Travis;16/09/2018 11:30;#NAME?
aureooms/js-uint64;Travis;05/11/2014 21:43;#NAME?
betajs/betajs;Travis;01/02/2016 14:27;#NAME?
bitcoinjs/bolt11;Travis;15/12/2017 01:07;#NAME?
BryanDonovan/node-cache-manager;Travis;14/10/2013 03:48;#NAME?
bumped/bumped-terminal;Travis;21/07/2015 12:21;#NAME?
CharlesStover/use-force-update;Travis;26/10/2018 19:34;#NAME?
conversejs/converse.js;Travis;28/07/2013 23:24;#NAME?
entrylabs/entry-tool;Travis;17/08/2018 07:32;#NAME?
fabulator/cookie-api-handler;Travis;07/05/2018 12:52;#NAME?
fedwiki/wiki-client;Travis;30/03/2015 10:30;#NAME?
fscherwi/tf-weather;Travis;19/08/2015 12:41;#NAME?
hackclub/design-system;Travis;23/12/2017 17:06;#NAME?
hacknug/tailwindcss-background-extended;Travis;20/05/2019 14:50;#NAME?
htmlacademy/eslint-config-htmlacademy;Travis;25/11/2016 17:57;#NAME?
LukyVj/family.scss;Travis;18/06/2016 16:32;#NAME?
macacajs/macaca-electron;Travis;29/03/2016 09:41;#NAME?
meyfa/fs-adapters;Travis;27/05/2018 11:58;#NAME?
mobilemind/text2datauri;Travis;10/12/2013 02:24;#NAME?
mongodb-js/mongoose-autopopulate;Travis;26/02/2015 17:23;#NAME?
mrodrig/htpasswd-mgr;Travis;05/01/2019 21:59;#NAME?
nextcloud/nextcloud-axios;Travis;21/09/2018 10:02;#NAME?
oprogramador/deep-equal-in-any-order;Travis;03/04/2017 00:20;#NAME?
pelotom/runtypes;Travis;28/05/2016 04:35;#NAME?
rudikershaw/whichpet;Travis;23/05/2019 21:54;#NAME?
swisspush/apikana;Travis;22/03/2017 19:33;#NAME?
telemark/tfk-template-to-pdf;Travis;07/01/2016 16:55;#NAME?
UKHomeOffice/modern-slavery;Travis;28/09/2018 17:32;#NAME?
wenzhixin/bootstrap-table-examples;Travis;17/12/2018 04:06;#NAME?
